region,default,regression,weighted,downsample,equalsample
SA,38.012,178.884,44.404,6.794,5.8284
SA,81.55,1157.394,103.13,16.224,13.5506
SA,100.498,319.328,127.518,22.392,18.5746
SA,212.076,693.818,269.436,49.558,40.263
SA,77.772,1063.122,98.282,15.322,12.714
SA,380.02,1849.034,483.106,94.67,79.083
SA,159.472,391.822,196.982,36.278,30.4618
SA,157.14,583.786,202.25,32.756,26.9754
SA,180.554,5793.748,234.744,44.61,37.1738
SA,83.318,312.232,100.924,17.64,14.3338
SA,66.682,231.044,76.054,12.408,10.526
SA,247.524,979.744,322.97,61.852,51.233200000000004
SA,81.612,1230.086,105.482,15.968,13.8816
SA,120.52,662.52,151.134,27.91,23.9822
SA,58.93,250.732,74.814,12.902,10.5444
SA,119.062,391.072,152.822,21.534,16.479
SA,115.684,610.99,148.536,23.814,19.3086
SA,267.74,677.308,344.59,59.818,49.5332
SA,141.662,696.27,180.154,31.162,25.8228
SA,405.248,2511.25,516.526,104.71,87.2598
SA,81.6,327.514,96.716,15.448,13.4114
SA,98.702,393.822,125.082,20.81,17.1936
SA,137.042,687.382,178.384,31.936,26.3548
SA,177.788,5127.952,233.008,39.748,32.3462
SWI,574.456,3283.942,738.274,138.572,114.7132
SWI,1141.396,3812.46,1406.862,340.756,283.006
SWI,416.092,3068.844,514.848,93.286,75.7696
SWI,685.268,1580.396,842.432,174.338,145.779
SWI,66.574,1545.09,67.102,9.664,8.7186
SWI,4349.454,6913.448,5030.902,2012.76,1677.6186
SWI,772.352,1854.418,939.708,189.044,154.0444
SWI,1210.868,3078.052,1474.234,352.558,286.8544
SWI,1005.014,10108.094,1267.91,278.886,229.53979999999999
SWI,2266.82,5219.568,2745.77,833.95,688.2308
SWI,693.91,2202.916,863.78,182.016,151.9302
SWI,67.822,587.754,88.688,12.306,10.3478
SWI,2858.874,5897.01,3411.05,1085.134,893.639
SWI,1758.636,5162.272,2130.68,591.934,486.5074
SWI,363.532,1907.462,445.27,73.226,60.022999999999996
SWI,786.258,2808.618,968.494,194.826,156.7514
SWI,318.684,1296.084,365.272,60.93,51.4534
SWI,316.55,2010.022,373.34,65.616,54.3178
SWI,60.562,2501.636,74.802,10.194,8.5234
SWI,707.586,3116.458,901.042,177.958,146.5378
SWI,600.348,2615.52,758.296,144.902,119.7924
SWI,575.534,2283.44,714.522,142.346,116.2114
SWI,1081.806,3299.322,1331.9,306.09,249.906
SWI,439.772,2608.128,566.12,109.246,92.0214
SWI,317.05,1143.344,369.304,60.996,50.5612
SWI,105.8,719.536,131.598,21.994,19.4926
SWI,576.722,2469.532,723.696,135.994,111.3948
SWI,3879.02,8545.436,4507.102,1738.778,1440.4094
SWI,231.338,1172.258,297.596,52.78,44.6252
SWI,2443.814,5322.34,2937.256,900.424,742.865
